"snl_id","primary_commodity"
"70841","Gold"
"82995","Silver"
"33652","Zinc"
"30734","Copper"
"40175","Iron Ore"
"29217","Gold"
"69551","Copper"
"31771","Diamonds"
"53910","Gold"
"35806","U3O8"
"83205","Gold"
"37391","U3O8"
"83508","Zinc"
"62640","Copper"
"56653","Silver"
"39119","Coal"
"55999","U3O8"
"81553","Vanadium"
"41512","Coal"
"31606","Platinum"
"60595","Gold"
"80820","Copper"
"27291","Copper"
"65892","Copper"
"65947","Graphite"
"64461","Gold"
"67359","Iron Ore"
"69748","Coal"
"27045","Gold"
"40498","Iron Ore"
"32516","Gold"
"70769","Lead"
"27260","Copper"
"29415","Copper"
"29871","Molybdenum"
"70294","Coal"
"70509","Gold"
"27158","Gold"
"78185","Coal"
"70054","Coal"
"40211","Coal"
"63945","Copper"
"24504","Copper"
"54150","Gold"
"27459","Gold"
"33453","Platinum"
"70837","Vanadium"
"35835","Gold"
"29075","Gold"
"76303","Gold"
"53108","Gold"
"69554","Phosphate"
"70177","Coal"
"30105","Gold"
"30735","Copper"
"34707","U3O8"
"61179","Lanthanides"
"31562","Diamonds"
"61226","Gold"
"34633","U3O8"
"28205","Zinc"
"57179","Zinc"
"37496","Copper"
"79633","Gold"
"58550","Gold"
"33071","Diamonds"
"62747","Copper"
"66136","Graphite"
"29489","Zinc"
"33610","Diamonds"
"32457","Tantalum"
"32531","Gold"
"33265","Silver"
"56841","Gold"
"66512","Nickel"
"26812","Gold"
"30897","Copper"
"29688","Gold"
"61227","Lead"
"30004","Tin"
"35752","Gold"
"30020","Gold"
"51028","Iron Ore"
"52788","Heavy Mineral Sands"
"32892","Gold"
"38803","Gold"
"67391","Copper"
"63929","Gold"
"29947","Gold"
"29711","Gold"
"63657","Gold"
"64339","Gold"
"61229","Bauxite"
"29626","Gold"
"81703","Tungsten"
"29676","Gold"
"57381","Gold"
"67207","Lanthanides"
"35039","Copper"
"33454","Gold"
"38738","Gold"
"60895","Gold"
"69931","Coal"
"34934","U3O8"
"30303","Silver"
"28811","Copper"
"79434","Copper"
"54562","Gold"
"61232","Lanthanides"
"53216","Gold"
"29845","Gold"
"31423","Diamonds"
"65890","Gold"
"30119","Gold"
"61933","Gold"
"31197","Gold"
"81944","Gold"
"36806","Gold"
"57030","Zinc"
"56954","Bauxite"
"64625","Copper"
"37712","Copper"
"30422","Gold"
"60140","Phosphate"
"65502","Gold"
"37811","Zinc"
"53947","Nickel"
"68294","Chromite"
"78951","Copper"
"49931","Phosphate"
"70857","Silver"
"69556","Chromite"
"56308","U3O8"
"38711","Copper"
"55967","U3O8"
"30332","Gold"
"40749","Lead"
"84129","Gold"
"50224","Gold"
"26487","Gold"
"25517","Gold"
"78569","Gold"
"30249","Silver"
"60951","Silver"
"55436","Gold"
"56392","Copper"
"69169","Coal"
"36097","Copper"
"56666","Copper"
"60997","Iron Ore"
"64074","Gold"
"24451","Gold"
"57900","Copper"
"24850","Gold"
"34685","Copper"
"57901","Gold"
"29572","Copper"
"82801","Copper"
"31261","Nickel"
"53895","Platinum"
"76207","Graphite"
"67222","Graphite"
"67292","Graphite"
"67537","Graphite"
"62022","Nickel"
"67248","Graphite"
"67793","Graphite"
"49988","Silver"
"34553","Gold"
"69927","Coal"
"66344","Copper"
"41109","Potash"
"54449","Diamonds"
"54980","Iron Ore"
"59908","Lithium"
"77062","Lithium"
"78973","Lithium"
"81969","Lithium"
"32101","Tin"
"26170","Gold"
"32656","Diamonds"
"28439","Gold"
"27270","Gold"
"60315","Gold"
"60501","Gold"
"59422","U3O8"
"61438","Coal"
"26374","Gold"
"82842","Gold"
"32697","Gold"
"26841","Copper"
"31468","Copper"
"68200","U3O8"
"63043","Gold"
"70670","Copper"
"82497","Nickel"
"30706","Gold"
"78829","Gold"
"37329","Gold"
"53997","Gold"
"35884","Lead"
"24798","Gold"
"25217","Gold"
"25071","Gold"
"64110","Molybdenum"
"25311","Gold"
"26939","Gold"
"77447","Gold"
"30021","Zinc"
"70684","Copper"
"27848","Zinc"
"26570","Gold"
"66514","Phosphate"
"74748","Iron Ore"
"36259","Molybdenum"
"63179","Gold"
"66163","Gold"
"27780","Copper"
"70053","Coal"
"61138","Copper"
"69029","Coal"
"39448","Coal"
"67316","Coal"
"32322","Copper"
"36635","U3O8"
"67172","Gold"
"38737","Tantalum"
"55519","Gold"
"67830","Copper"
"81253","Copper"
"32728","Gold"
"58156","Coal"
"66970","Diamonds"
"60186","Diamonds"
"37400","Gold"
"82920","Gold"
"25865","Gold"
"58026","Phosphate"
"39649","Gold"
"32957","Diamonds"
"36650","U3O8"
"31235","Diamonds"
"33464","Nickel"
"38837","Niobium"
"52452","Niobium"
"28404","Diamonds"
"33455","Copper"
