fid,country_name,country_isoa3,hcluster_id
26186,China,CHN,00000000000000007187
26187,China,CHN,00000000000000007187
26188,China,CHN,00000000000000007187
26189,China,CHN,00000000000000007187
26190,China,CHN,00000000000000007187
26191,China,CHN,00000000000000007152
26192,China,CHN,00000000000000007152
26193,China,CHN,00000000000000007152
26194,China,CHN,00000000000000007152
26195,China,CHN,00000000000000007152
26196,China,CHN,00000000000000007152
26197,China,CHN,00000000000000007152
26198,China,CHN,00000000000000007152
26199,China,CHN,00000000000000007152
26200,China,CHN,00000000000000007152
26201,China,CHN,00000000000000007152
26202,China,CHN,00000000000000007152
26203,China,CHN,00000000000000007152
26204,China,CHN,00000000000000007152
26205,China,CHN,00000000000000007152
26206,China,CHN,00000000000000007152
26207,China,CHN,00000000000000007152
26208,China,CHN,00000000000000007152
26209,China,CHN,00000000000000007152
26210,China,CHN,00000000000000007152
26211,China,CHN,00000000000000007152
26212,China,CHN,00000000000000007152
26213,China,CHN,00000000000000007152
26214,China,CHN,00000000000000007152
26215,China,CHN,00000000000000007152
26216,China,CHN,00000000000000007152
26217,China,CHN,00000000000000007152
26218,China,CHN,00000000000000007152
26219,China,CHN,00000000000000007152
26220,China,CHN,00000000000000007152
26221,China,CHN,00000000000000007152
26222,China,CHN,00000000000000007598
26223,China,CHN,00000000000000007699
26224,China,CHN,00000000000000007699
26225,China,CHN,00000000000000007699
26226,China,CHN,00000000000000007699
26227,China,CHN,00000000000000007699
26228,China,CHN,00000000000000007699
26229,China,CHN,00000000000000007699
26230,China,CHN,00000000000000007699
26231,China,CHN,00000000000000007699
26232,China,CHN,00000000000000007699
26233,China,CHN,00000000000000007699
26234,China,CHN,00000000000000007699
26235,China,CHN,00000000000000007744
26236,China,CHN,00000000000000007744
26237,China,CHN,00000000000000007744
26238,China,CHN,00000000000000007744
26239,China,CHN,00000000000000007744
26240,China,CHN,00000000000000007744
26241,China,CHN,00000000000000007744
26242,China,CHN,00000000000000007744
26243,China,CHN,00000000000000007744
26244,China,CHN,00000000000000007744
26245,China,CHN,00000000000000007744
26246,China,CHN,00000000000000007821
26247,China,CHN,00000000000000007821
26248,China,CHN,00000000000000007821
26249,China,CHN,00000000000000007821
26250,China,CHN,00000000000000007821
26251,China,CHN,00000000000000007821
26252,China,CHN,00000000000000007821
26253,China,CHN,00000000000000007821
26254,China,CHN,00000000000000007821
26255,China,CHN,00000000000000007821
26256,China,CHN,00000000000000007821
26257,China,CHN,00000000000000007821
26258,China,CHN,00000000000000007821
26259,China,CHN,00000000000000007821
26260,China,CHN,00000000000000007821
26261,China,CHN,00000000000000007821
26262,China,CHN,00000000000000007821
26263,China,CHN,00000000000000007821
26264,China,CHN,00000000000000007821
26265,China,CHN,00000000000000007821
26266,China,CHN,00000000000000007821
26267,China,CHN,00000000000000007821
26268,China,CHN,00000000000000007821
26269,China,CHN,00000000000000007821
26270,China,CHN,00000000000000007821
26271,China,CHN,00000000000000007821
26272,China,CHN,00000000000000007821
26273,China,CHN,00000000000000007821
26274,China,CHN,00000000000000007821
26275,China,CHN,00000000000000008078
26276,China,CHN,00000000000000008078
26277,China,CHN,00000000000000008078
26278,China,CHN,00000000000000008078
26279,Chile,CHL,00000000000000006835
26280,China,CHN,00000000000000007805
26281,China,CHN,00000000000000007805
26282,China,CHN,00000000000000007805
26283,China,CHN,00000000000000007805
26284,China,CHN,00000000000000007805
26285,China,CHN,00000000000000007805
26286,China,CHN,00000000000000007558
26287,China,CHN,00000000000000007558
26288,China,CHN,00000000000000007558
26289,China,CHN,00000000000000007558
26290,China,CHN,00000000000000007558
26291,China,CHN,00000000000000007558
26292,China,CHN,00000000000000007558
26293,China,CHN,00000000000000007558
26294,China,CHN,00000000000000007558
26295,China,CHN,00000000000000007558
26296,China,CHN,00000000000000007558
26297,China,CHN,00000000000000007558
26298,China,CHN,00000000000000007558
26299,China,CHN,00000000000000007558
26300,China,CHN,00000000000000007894
26301,China,CHN,00000000000000007894
26302,China,CHN,00000000000000007894
26303,China,CHN,00000000000000007894
26304,China,CHN,00000000000000007894
26305,China,CHN,00000000000000007894
26306,China,CHN,00000000000000007894
26307,China,CHN,00000000000000007894
26308,China,CHN,00000000000000007894
26309,China,CHN,00000000000000007894
26310,China,CHN,00000000000000007894
26311,China,CHN,00000000000000007894
26312,China,CHN,00000000000000007894
26313,China,CHN,00000000000000007894
26314,China,CHN,00000000000000007894
26315,China,CHN,00000000000000007217
26316,China,CHN,00000000000000007217
26317,China,CHN,00000000000000007206
26318,China,CHN,00000000000000007206
26319,China,CHN,00000000000000007206
26320,China,CHN,00000000000000007206
26321,China,CHN,00000000000000007206
26322,China,CHN,00000000000000007454
26323,China,CHN,00000000000000007454
26324,China,CHN,00000000000000007454
26325,China,CHN,00000000000000007454
26326,China,CHN,00000000000000007454
26327,China,CHN,00000000000000007454
26328,China,CHN,00000000000000007454
26329,China,CHN,00000000000000007454
26330,China,CHN,00000000000000007454
26331,China,CHN,00000000000000007292
26332,China,CHN,00000000000000007292
26333,China,CHN,00000000000000007292
26334,China,CHN,00000000000000007292
26335,China,CHN,00000000000000007292
26336,China,CHN,00000000000000007292
26337,China,CHN,00000000000000007292
26338,China,CHN,00000000000000007292
26339,China,CHN,00000000000000007292
26340,China,CHN,00000000000000007292
26341,China,CHN,00000000000000007292
26342,China,CHN,00000000000000007292
26343,China,CHN,00000000000000007292
26344,China,CHN,00000000000000007292
26345,China,CHN,00000000000000007449
26346,China,CHN,00000000000000007449
26347,China,CHN,00000000000000007449
26348,China,CHN,00000000000000007449
26349,China,CHN,00000000000000007449
26350,China,CHN,00000000000000008462
26351,China,CHN,00000000000000008087
26352,China,CHN,00000000000000008087
26353,China,CHN,00000000000000008087
26354,China,CHN,00000000000000008087
26355,China,CHN,00000000000000008087
26356,China,CHN,00000000000000008087
26357,China,CHN,00000000000000008087
26358,China,CHN,00000000000000008087
26359,China,CHN,00000000000000008087
26360,China,CHN,00000000000000008087
26361,China,CHN,00000000000000007582
26362,China,CHN,00000000000000007582
26363,China,CHN,00000000000000007582
26364,China,CHN,00000000000000007582
26365,China,CHN,00000000000000007582
26366,China,CHN,00000000000000007582
26367,China,CHN,00000000000000007582
26368,China,CHN,00000000000000007582
26369,China,CHN,00000000000000007582
26370,China,CHN,00000000000000007582
26371,China,CHN,00000000000000007501
26372,China,CHN,00000000000000007501
26373,China,CHN,00000000000000007501
26374,China,CHN,00000000000000007501
26375,China,CHN,00000000000000007501
26376,China,CHN,00000000000000007501
26377,China,CHN,00000000000000008010
26378,China,CHN,00000000000000008010
26379,China,CHN,00000000000000008010
26380,China,CHN,00000000000000008010
26381,China,CHN,00000000000000008010
26382,China,CHN,00000000000000008172
26383,China,CHN,00000000000000008282
26384,China,CHN,00000000000000008282
26385,China,CHN,00000000000000007394
26386,China,CHN,00000000000000007394
26387,China,CHN,00000000000000007394
26388,China,CHN,00000000000000007394
26389,China,CHN,00000000000000007394
26390,China,CHN,00000000000000008381
26391,China,CHN,00000000000000008381
26392,China,CHN,00000000000000008381
26393,China,CHN,00000000000000008381
26394,China,CHN,00000000000000008381
26395,China,CHN,00000000000000008464
26396,China,CHN,00000000000000008464
26397,China,CHN,00000000000000008485
26398,China,CHN,00000000000000008485
26399,China,CHN,00000000000000007307
26400,China,CHN,00000000000000007840
26401,China,CHN,00000000000000007840
26402,China,CHN,00000000000000007840
26403,China,CHN,00000000000000007840
26404,China,CHN,00000000000000007840
26405,China,CHN,00000000000000007840
26406,China,CHN,00000000000000007840
26407,China,CHN,00000000000000007840
26408,China,CHN,00000000000000007840
26409,China,CHN,00000000000000007840
26410,China,CHN,00000000000000007840
26411,China,CHN,00000000000000007840
26412,China,CHN,00000000000000007840
26413,China,CHN,00000000000000007840
26414,China,CHN,00000000000000007840
26415,China,CHN,00000000000000007840
26416,China,CHN,00000000000000007840
26417,China,CHN,00000000000000008310
26418,China,CHN,00000000000000008310
26419,China,CHN,00000000000000008310
26420,China,CHN,00000000000000008310
26421,China,CHN,00000000000000008310
26422,China,CHN,00000000000000007243
26423,Chile,CHL,00000000000000006837
26424,Chile,CHL,00000000000000006837
26425,China,CHN,00000000000000007450
26426,China,CHN,00000000000000007450
26427,China,CHN,00000000000000007450
26428,China,CHN,00000000000000007450
26429,China,CHN,00000000000000008549
26430,China,CHN,00000000000000008549
26431,China,CHN,00000000000000008549
26432,China,CHN,00000000000000008549
26433,China,CHN,00000000000000008549
26434,China,CHN,00000000000000007631
26435,China,CHN,00000000000000007631
26436,China,CHN,00000000000000007664
26437,Canada,CAN,00000000000000006324
26438,China,CHN,00000000000000007692
26439,China,CHN,00000000000000007692
26440,China,CHN,00000000000000007692
26441,China,CHN,00000000000000007692
26442,China,CHN,00000000000000007692
26443,China,CHN,00000000000000007692
26444,China,CHN,00000000000000007692
26445,China,CHN,00000000000000008210
26446,China,CHN,00000000000000008210
26447,China,CHN,00000000000000008210
26448,China,CHN,00000000000000008226
26449,China,CHN,00000000000000008229
26450,China,CHN,00000000000000008229
26451,China,CHN,00000000000000008229
26452,China,CHN,00000000000000008229
26453,Haiti,HTI,00000000000000010055
26454,Canada,CAN,00000000000000006807
26455,Canada,CAN,00000000000000006807
26456,Canada,CAN,00000000000000006807
26457,Canada,CAN,00000000000000006807
26458,Canada,CAN,00000000000000005137
