"year","commodity","country_isoa3","forest_loss_km2"
2001,"Gold","BGR",0.0489814328851439
2001,"Gold","BIH",0.0109721770996094
2001,"Gold","BOL",0.240218232957847
2001,"Gold","BRA",12.6978654925041
2001,"Gold","BWA",0.014315158584475
2001,"Gold","CAN",19.2717421119756
2001,"Gold","CHL",0.00967455936063878
2001,"Gold","CHN",1.51620322360786
2001,"Gold","CIV",0.450064155082314
2001,"Gold","COD",0.345914091048656
2001,"Gold","COL",0.57467587210464
2001,"Gold","CUB",0.00041335726928711
2001,"Gold","CYP",0.0028262734781901
2001,"Gold","DEU",0.0385117453524959
2001,"Gold","DOM",0.00358782025022818
2001,"Gold","ECU",0.0251154317967154
2001,"Gold","ESP",0.00696178676748239
2001,"Gold","FIN",0.168576363283655
2001,"Gold","FRA",0.0895392231557809
2001,"Gold","GAB",0.000402957669127221
2001,"Gold","GBR",0.00384000818469477
2001,"Gold","GEO",0.000134926599121094
2001,"Gold","GHA",2.32537059377501
2001,"Gold","GIN",0.272953865038584
2001,"Gold","GRC",0.00067982482910156
2001,"Gold","HND",0.0289876329022576
2001,"Gold","HUN",0.00204115349472145
2001,"Gold","IDN",6.97974170106178
2001,"Gold","IND",0.000414200042724609
2001,"Gold","IRL",0.000527431097005208
2001,"Gold","ITA",0.0206821512527286
2001,"Gold","JAM",0.0317705191415026
2001,"Gold","JPN",0.000453859476868872
2001,"Gold","KAZ",0.00175577132161458
2001,"Gold","KGZ",0.000555347778320314
2001,"Gold","KOR",0.023473074268356
2001,"Gold","LAO",0.011768325261015
2001,"Gold","LBR",0.0599018540053424
2001,"Gold","MEX",0.0426222301648906
2001,"Gold","MKD",0.000223878560384115
2001,"Gold","MLI",0.108972241621907
2001,"Gold","MMR",3.4881281520886
2001,"Gold","MNG",0.16564582577375
2001,"Gold","MOZ",0.0259792761609445
2001,"Gold","MYS",0.353997967330753
2001,"Gold","NAM",0.0010117555014457
2001,"Gold","NIC",0.0192142092275343
2001,"Gold","NOR",0.000338916494631299
2001,"Gold","NZL",0.110743261531336
2001,"Gold","PAN",0.00418690994067223
2001,"Gold","PER",7.73224626985573
2001,"Gold","PHL",0.123885026971141
2001,"Gold","PNG",0.108006220960709
2001,"Gold","POL",0.00331004403427224
2001,"Gold","PRT",0.129304151288756
2001,"Gold","PRY",0.00968406201171875
2001,"Gold","ROU",0.000234565244667203
2001,"Gold","RUS",11.582378766445
2001,"Gold","SEN",0.0017418759765625
2001,"Gold","SLE",0.101047813117931
2001,"Gold","SLV",0.00291673394063314
2001,"Gold","SRB",0.00370700018920898
2001,"Gold","SVK",0.00460382682339538
2001,"Gold","SWE",0.0378301940462339
2001,"Gold","THA",0.0118332985780005
2001,"Gold","TUR",0.0620028901734714
2001,"Gold","TZA",0.197403752001176
2001,"Gold","UGA",0.000688866186523435
2001,"Gold","URY",0.00700749605234184
2001,"Gold","USA",1.14569203537001
2001,"Gold","VEN",0.623399525550454
2001,"Gold","VNM",0.0284639906005859
2001,"Gold","XAF",0.000670099049766391
2001,"Gold","XAM",8.68048917948992
2001,"Gold","XAS",0.00220448211669922
2001,"Gold","ZAF",0.60763677730657
2001,"Gold","ZMB",0.111849928823234
2001,"Gold","ZWE",0.00703419122314453
2001,"Iron Ore","AUS",0.35340077022238
2001,"Iron Ore","AUT",0.010974263312366
2001,"Iron Ore","BGR",0.00132163696289063
2001,"Iron Ore","BRA",0.647088748456209
2001,"Iron Ore","CAN",0.761095312905539
2001,"Iron Ore","CHN",0.637174118459264
2001,"Iron Ore","COG",0.00381240564371745
2001,"Iron Ore","COL",0.0126447695497999
2001,"Iron Ore","CUB",0.132821273882459
2001,"Iron Ore","CZE",0.0027326807161219
2001,"Iron Ore","DEU",0.00151055408935547
2001,"Iron Ore","ESP",8.01612117991728e-05
2001,"Iron Ore","GHA",1.8496045730364
2001,"Iron Ore","GIN",0.02361094513107
2001,"Iron Ore","IDN",1.51630524039141
2001,"Iron Ore","IND",0.105726082814894
2001,"Iron Ore","IRL",0.000944563415527343
2001,"Iron Ore","KAZ",0.00126850099690755
2001,"Iron Ore","LBR",0.00699272174311619
2001,"Iron Ore","MEX",0.0231970031689613
2001,"Iron Ore","MMR",1.48171586689165
2001,"Iron Ore","MNG",0.0424395539475783
2001,"Iron Ore","MOZ",0.00057302921549479
2001,"Iron Ore","MYS",0.119240847044761
2001,"Iron Ore","NGA",0.00832496045759612
2001,"Iron Ore","NOR",0.00143358682544185
2001,"Iron Ore","NZL",0.222227479413679
2001,"Iron Ore","PER",0.000216582321166992
2001,"Iron Ore","PHL",0.154418926191482
2001,"Iron Ore","PRK",0.000921685366641774
2001,"Iron Ore","PRT",0.0661790300943413
2001,"Iron Ore","RUS",1.0187297775069
2001,"Iron Ore","SLE",0.0618867033398198
2001,"Iron Ore","SVK",0.00121223729271982
2001,"Iron Ore","SWE",0.0160109685912089
2001,"Iron Ore","TUR",0.0163539036732393
2001,"Iron Ore","UKR",0.0167229285583496
2001,"Iron Ore","USA",2.07405619242619
2001,"Iron Ore","VEN",0.0424326978765749
2001,"Iron Ore","VNM",0.00424681524658203
2001,"Iron Ore","ZAF",0.0190467443754308
2001,"Iron Ore","ZMB",0.0122070464764763
2001,"Iron Ore","ZWE",0.000282327697753906
2001,"Lead/Zinc/Silver","AUS",0.844420039324997
2001,"Lead/Zinc/Silver","BGR",0.0471575352913652
2001,"Lead/Zinc/Silver","BIH",0.0329165312988281
2001,"Lead/Zinc/Silver","BOL",0.00319138182696174
2001,"Lead/Zinc/Silver","BRA",3.99435859618213
2001,"Lead/Zinc/Silver","BWA",0.00513773319995357
2001,"Lead/Zinc/Silver","CAN",2.29423752999369
2001,"Lead/Zinc/Silver","CHL",0.00240393971138749
